"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN","TOBS"
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-26","0.02","54","36",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-27","0.00","69","29",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-28","0.00","67","47",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-29","0.09","60","46",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-30","0.00","59","41",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-01","0.00","67","45",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-02","0.00","73","48",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-03","0.00","74","46",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-04","0.03","72","49",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-05","0.06","67","50",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-06","0.02","75","49",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-07","0.00","72","45",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-08","0.00","72","50",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-09","0.00","73","48",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-10","0.02","65","43",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-11","0.00","57","45",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-12","0.05","57","46",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-13","0.17","53","42",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-14","0.00","66","42",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-15","0.00","70","48",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-16","0.00","77","45",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-17","0.00","75","43",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-18","0.22","61","48",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-19","0.10","57","46",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-20","0.35","57","41",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-21","0.02","61","46",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-22","0.00","70","46",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-23","0.00","73","38",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-24","0.00","74","40",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-25","0.00","76","38",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-26","0.00","81","40",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-27","0.00","82","44",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-28","0.00","79","48",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-29","0.17","68","52",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-30","0.00","75","50",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-07-31","0.00","77","50",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-01","0.00","78","40",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-02","0.00","74","38",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-03","0.00","69","45",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-04","0.00","73","53",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-05","0.00","77","44",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-06","0.00","74","44",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-07","0.00","75","38",
